,Handle,Follower Count
0,andreforatlanta,None
1,AsaHutchinson,104310
2,AustinScottGA08,29356
3,BennieGThompson,96666
4,BettyMcCollum04,44552
5,BillPascrell,127735
6,BobbyDyerVB,1723
7,BobbyScott,44718
8,boblatta,39036
9,BradSherman,98391
10,BWhippleKS,7620
11,CAgovernor,299580
12,Call_Me_Dutch,18720
13,cathymcmorris,53202
14,chelliepingree,32662
15,ChrisCoons,218133
16,ChrisMurphyCT,1097455
17,ChrisVanHollen,194715
18,ChuckGrassley,847450
19,CLTMayor,34638
20,congbillposey,33587
21,CongBoyle,19627
22,CongMikeSimpson,21313
23,CongPalazzo,18206
24,CongressmanGT,24384
25,CongressmanHice,92359
26,CongressmanRaja,178890
27,CongresswomanSC,2496
28,CoryBooker,4818956
29,davidcicilline,149857
30,davidfholt,56007
31,DesJarlaisTN04,23236
32,DonaldNorcross,13596
33,DorisMatsui,42897
34,DougBurgum,22248
35,dougducey,166545
36,EleanorNorton,71615
37,FrancisSuarez,138041
38,FrankPallone,52201
39,GerryConnolly,86399
40,GKButterfield,22838
41,GovAbbott,533427
42,GovAndyBeshear,168598
43,GovBillLee,121745
44,GovChrisSununu,62768
45,GovCox,18940
46,GovDanMcKee,18221
47,GovDunleavy,13371
48,GovernorCNMI,448
49,GovernorGordon,11291
50,GovernorKayIvey,88317
51,GovernorLittle,28046
52,GovernorVA,104336
53,GovEvers,107888
54,GovGianforte,17781
55,GovHolcomb,75734
56,GovInslee,377150
57,GovJanetMills,24593
58,GovKathyHochul,241716
59,GovKemp,128584
60,govkristinoem,540491
61,GovLarryHogan,256467
62,GovLauraKelly,54714
63,GovMikeDeWine,404918
64,GovMLG,61542
65,GovMurphy,441232
66,GovNedLamont,100313
67,GovofCO,159085
68,GovParsonMO,64878
69,GovPhilScott,37896
70,GovPierluisi,99850
71,GovPritzker,249403
72,GovRonDeSantis,4098235
73,GovSisolak,None
74,GovStitt,69232
75,GovTimWalz,215314
76,GovWhitmer,530133
77,gracenapolitano,41214
78,GReschenthaler,30786
79,gtbynum,19291
80,GuamCongressman,2257
81,HawleyMO,1295528
82,henrymcmaster,85533
83,HerreraBeutler,63398
84,IAGovernor,67376
85,Ilhan,1295721
86,IndyMayorJoe,32656
87,JacksonLeeTX18,119316
88,Jacob_Frey,86512
89,JayObernolte,9034
90,Jean_Stothert,10746
91,JerryMoran,119845
92,JimInhofe,97036
93,JimLangevin,29519
94,Jim_Jordan,3914891
95,JoaquinCastrotx,275999
96,JohnBoozman,107968
97,JohnCarneyDE,39949
98,JohnCooper4Nash,34692
99,JohnCornyn,367698
100,Johnson4Dallas,48880
101,JohnSuthers,848
102,JudgeCarter,19565
103,karenkgoh,2641
104,KenCalvert,23285
105,Kilili_Sablan,2292
106,KirkPWatson,31121
107,lennycurry,35857
108,LindseyGrahamSC,2216675
109,lisamurkowski,329755
110,LondonBreed,131560
111,LongBeachMayor,20839
112,LoriLightfoot,154241
113,LouisianaGov,120984
114,LouisvilleMayor,7114
115,louleonguerrero,3244
116,marcorubio,4516972
117,MarkAmodeiNV2,17024
118,MarkWarner,499019
119,MarshaBlackburn,974606
120,MartinHeinrich,207252
121,maryannbaldwin,13161
122,MassGovernor,14987
123,MattMahanSJ,5325
124,MayorBMScott,71283
125,MayorBowser,210104
126,MayorGallego,31232
127,MayorGiles,6598
128,MayorGinther,20241
129,MayorHancock,66269
130,MayorJerryDyer,6302
131,MayorKeller,25532
132,MayorMattie,6098
133,MayorMemphis,28232
134,MayorMikeDuggan,42935
135,MayorOfLA,438642
136,mayoroflasvegas,40514
137,MayorOfMKE,16754
138,MayorofSeattle,28768
139,MayorRickHNL,4969
140,MayorShengThao,9676
141,MayorWu,67107
142,Mayor_Steinberg,24004
143,maziehirono,504112
144,michaelcburgess,34466
145,MikeCrapo,129713
146,MikeKellyPA,28939
147,na,4893
148,NC_Governor,203243
149,NormaJTorres,80890
150,NYCMayor,1593899
151,NydiaVelazquez,79932
152,OregonGovBrown,236394
153,ossoff,1208727
154,PatrickMcHenry,39117
155,PattyMurray,491880
156,PeterWelch,38132
157,PeteSessions,37305
158,PhillyMayor,82053
159,QuintonLucasKC,90402
160,RandPaul,4673288
161,RepAdams,29590
162,RepAdamSchiff,3331121
163,RepAdamSmith,43112
164,RepAdrianSmith,18494
165,RepAlGreen,77576
166,RepAmata,4161
167,RepAndreCarson,62216
168,RepAndyBarr,30994
169,RepAndyBiggsAZ,701781
170,RepAndyHarrisMD,28529
171,RepAndyKimNJ,38416
172,RepAndyLevin,32575
173,RepAngieCraig,34550
174,RepAnnaEshoo,52443
175,RepAnnWagner,29294
176,RepAnthonyBrown,None
177,RepAOC,773013
178,RepArmstrongND,23820
179,RepArrington,21206
180,RepAshleyHinson,26003
181,RepAuchincloss,17409
182,RepBalderson,7078
183,RepBarbaraLee,329925
184,RepBarragan,32539
185,RepBarryMoore,11467
186,RepBeatty,76232
187,RepBenCline,26998
188,RepBentz,7155
189,RepBera,46061
190,RepBethVanDuyne,31477
191,RepBice,17208
192,RepBillFoster,55786
193,RepBillJohnson,44109
194,RepBlaine,18819
195,RepBlakeMoore,8234
196,repblumenauer,73589
197,RepBobGood,44623
198,RepBoebert,892235
199,RepBonamici,35588
200,RepBonnie,47889
201,RepBost,17573
202,RepBourdeaux,7198
203,RepBowman,67465
204,RepBradWenstrup,33662
205,RepBrianBabin,27545
206,RepBrianFitz,25155
207,RepBrianHiggins,28726
208,RepBrianMast,76871
209,RepBrownley,22005
210,RepBryanSteil,19577
211,RepBuddyCarter,35781
212,RepBurgessOwens,29833
213,RepCarbajal,16752
214,RepCardenas,28698
215,RepCarolMiller,13675
216,RepCartwright,20235
217,RepCasten,32765
218,RepCawthorn,178388
219,RepCheri,33693
220,RepChipRoy,176495
221,RepChrisPappas,17149
222,RepChrisStewart,45360
223,RepChuck,24558
224,RepChuyGarcia,33119
225,RepCicilline,35022
226,RepCindyAxne,None
227,RepClayHiggins,65916
228,repcleaver,50204
229,RepCloudTX,23057
230,RepCohen,84758
231,RepColinAllred,46453
232,RepConnieConway,402
233,RepCori,117571
234,RepCuellar,31180
235,RepDanBishop,85000
236,RepDanCrenshaw,701001
237,RepDanKildee,51453
238,RepDannyDavis,18996
239,repdarrellissa,114471
240,RepDarrenSoto,24123
241,RepDaveJoyce,24134
242,RepDavid,35028
243,RepDavidEPrice,None
244,RepDavidKustoff,15829
245,RepDavidRouzer,17730
246,RepDavids,70248
247,repdavidscott,28351
248,RepDavidTrone,18689
249,RepDavidValadao,22993
250,RepDean,72644
251,RepDeanPhillips,63241
252,RepDebDingell,103521
253,RepDeborahRoss,7693
254,RepDelBene,34139
255,RepDerekKilmer,31269
256,RepDeSaulnier,22445
257,RepDianaDeGette,68980
258,repdinatitus,46158
259,RepDLamborn,34899
260,RepDLesko,118714
261,RepDonaldPayne,30158
262,RepDonaldsPress,183476
263,RepDonBacon,24975
264,RepDonBeyer,109139
265,RepDrewFerguson,14411
266,RepDustyJohnson,19477
267,RepDwightEvans,20766
268,RepDWStweets,20693
269,RepEBJ,37850
270,RepEdCase,8257
271,RepEscobar,85594
272,RepEspaillat,35161
273,RepFeenstra,10622
274,repfinstad,891
275,RepFischbach,8553
276,RepFitzgerald,11519
277,RepFletcher,30873
278,RepFranklin,8402
279,RepFrankLucas,23842
280,RepFredKeller,16494
281,RepFredUpton,36295
282,RepFrenchHill,24334
283,RepGallagher,43978
284,RepGaramendi,33387
285,RepGarbarino,6501
286,RepGarretGraves,18096
287,RepGolden,18084
288,RepGonzalez,13010
289,RepGosar,305997
290,RepGraceMeng,49784
291,RepGregMurphy,18544
292,RepGregoryMeeks,53502
293,RepGregPence,13094
294,RepGregStanton,13263
295,RepGregSteube,68396
296,RepGrothman,14954
297,RepGusBilirakis,36594
298,RepGuthrie,21411
299,RepGwenMoore,44354
300,RepHaleyStevens,42204
301,RepHalRogers,None
302,RepHankJohnson,55445
303,RepHarshbarger,17938
304,RepHartzler,33774
305,RepHerrell,17871
306,RepHorsford,18988
307,RepHoulahan,33424
308,RepHuffman,44432
309,RepHuizenga,30877
310,RepJackBergman,14720
311,RepJacobs,5424
312,RepJahanaHayes,44257
313,RepJamesComer,65624
314,RepJasonCrow,139634
315,RepJasonSmith,42663
316,RepJayapal,616927
317,RepJeffries,882161
318,RepJerryCarl,7263
319,RepJimBaird,9498
320,RepJimBanks,107256
321,repjimcooper,None
322,RepJimCosta,29426
323,RepJimmyGomez,53512
324,RepJimmyPanetta,17146
325,RepJoeCourtney,27059
326,RepJoeNeguse,227933
327,RepJoeWilson,23621
328,RepJohnCurtis,11923
329,RepJohnJoyce,16210
330,RepJohnKatko,29241
331,RepJohnLarson,28648
332,RepJohnRose,16656
333,RepJoshG,21162
334,RepJoshHarder,22542
335,RepJuanVargas,28189
336,RepJudyChu,84911
337,repjulialetlow,5610
338,RepKarenBass,182961
339,RepKatCammack,48684
340,RepKathleenRice,33087
341,RepKatiePorter,1306835
342,RepKayGranger,27319
343,RepKClark,None
344,RepKenBuck,74772
345,RepKevinBrady,57398
346,repkevinhern,17133
347,RepKimSchrier,16398
348,RepKinzinger,568347
349,RepKirkpatrick,10732
350,RepKManning,6358
351,RepKweisiMfume,5058
352,RepLaHood,21361
353,RepLaMalfa,27544
354,RepLarryBucshon,26105
355,RepLaTurner,6061
356,RepLawrence,29990
357,RepLBR,28151
358,RepLindaSanchez,48483
359,RepLisaMcClain,24533
360,RepLizCheney,600628
361,RepLloydDoggett,42053
362,RepLoisFrankel,32792
363,RepLoriTrahan,38788
364,RepLouCorrea,25882
365,RepLoudermilk,33574
366,replouiegohmert,500927
367,RepLucyMcBath,56714
368,RepMalinowski,14685
369,RepMalliotakis,20934
370,RepMaloney,79482
371,RepMann,4409
372,RepMarcyKaptur,28064
373,RepMarieNewman,49149
374,RepMarkGreen,79170
375,repmarkpocan,110229
376,RepMarkTakano,59793
377,RepMaryMiller,90293
378,RepMattGaetz,2291917
379,RepMaxineWaters,1631630
380,repmayraflores,30088
381,RepMcCaul,48892
382,RepMcClintock,27290
383,RepMcGovern,110377
384,RepMcKinley,32837
385,RepMcNerney,32149
386,RepMeijer,69965
387,RepMGriffith,32917
388,RepMGS,58975
389,RepMichaelGuest,12260
390,RepMikeCarey,2096
391,RepMikeGarcia,12660
392,RepMikeJohnson,94423
393,RepMikeLevin,21175
394,RepMikeQuigley,51708
395,RepMikeRogersAL,40714
396,RepMikeTurner,41332
397,RepMMM,14250
398,RepMoBrooks,117023
399,RepMondaire,24647
400,RepMoolenaar,16484
401,RepMrvan,5182
402,RepMTG,2078352
403,RepNancyMace,116473
404,RepNewhouse,24486
405,RepNikema,16873
406,RepOHalleran,17267
407,RepPatFallon,29322
408,RepPatRyanNY,5060
409,RepPaulTonko,27561
410,RepPerlmutter,37428
411,RepPeteAguilar,42274
412,RepPeterDeFazio,37715
413,RepPeteStauber,12114
414,RepPfluger,13725
415,RepPressley,540695
416,RepRalphNorman,40309
417,RepRashida,497492
418,RepRaskin,755775
419,RepRaulGrijalva,42811
420,RepRaulRuizMD,29011
421,RepRichardNeal,41569
422,RepRichHudson,25140
423,RepRickAllen,27646
424,RepRickLarsen,23289
425,RepRitchie,30287
426,RepRobinKelly,35505
427,RepRoKhanna,121705
428,RepRonEstes,10402
429,RepRonKind,19047
430,RepRonnyJackson,28038
431,RepRoybalAllard,34943
432,RepRubenGallego,113810
433,RepRussFulcher,12281
434,RepRutherfordFL,16800
435,RepRWilliams,18874
436,RepSamGraves,15926
437,RepSaraJacobs,24619
438,RepSarbanes,26996
439,RepSchneider,19632
440,RepSchrader,30655
441,RepScottPerry,79517
442,RepScottPeters,29831
443,RepSeanMaloney,127801
444,RepSempolinski,206
445,RepSherrill,67090
446,RepShontelBrown,34200
447,RepSlotkin,96744
448,RepSmucker,13238
449,RepSpanberger,78605
450,RepSpartz,29804
451,RepSpeier,192099
452,RepSteel,19376
453,RepStefanik,456663
454,RepStephenLynch,27622
455,RepStephMurphy,57668
456,RepSteveChabot,36445
457,RepStricklandWA,7871
458,RepSusanWild,16878
459,RepSusieLee,34288
460,RepSwalwell,1497471
461,RepSylviaGarcia,65834
462,RepTedBudd,None
463,RepTedLieu,184094
464,RepTenney,33213
465,RepTeresaLF,8530
466,RepTerriSewell,53170
467,RepThomasMassie,624710
468,RepThompson,41298
469,RepTiffany,12745
470,RepTimBurchett,29686
471,RepTimmons,14844
472,RepTimRyan,144643
473,RepTomSuozzi,19817
474,RepTonyGonzales,15016
475,RepTrentKelly,13935
476,RepTrey,None
477,RepTroyCarter,5205
478,RepTroyNehls,130271
479,RepUnderwood,127067
480,RepValDemings,439713
481,RepVanTaylor,8774
482,RepVeasey,33047
483,RepWalberg,22081
484,RepWaltzPress,22472
485,RepWebster,28052
486,RepWesterman,14470
487,RepWexton,33732
488,RepWilson,73908
489,RepYoungKim,27939
490,RepYvetteClarke,84262
491,RepZoeLofgren,96475
492,Rep_Clyde,14850
493,Rep_Stansbury,11242
494,rep_stevewomack,27280
495,Robert_Aderholt,32688
496,RodneyDavis,28139
497,RonWyden,512175
498,Ron_Nirenberg,62702
499,rosadelauro,54367
500,RoyBlunt,128566
501,SanfordBishop,26470
502,SenAlexPadilla,66940
503,SenAmyKlobuchar,96201
504,SenAngusKing,247047
505,SenatorBaldwin,149788
506,SenatorBennet,305686
507,SenatorBraun,45057
508,SenatorBurr,167315
509,SenatorCantwell,255050
510,SenatorCardin,259789
511,SenatorCarper,112707
512,SenatorCollins,556800
513,SenatorDurbin,741208
514,SenatorFischer,103835
515,SenatorHagerty,29536
516,SenatorHassan,162447
517,SenatorHick,37311
518,SenatorLankford,130031
519,SenatorLeahy,226999
520,SenatorLujan,41620
521,SenatorMenendez,217293
522,SenatorRisch,118008
523,SenatorRomney,214572
524,SenatorRounds,44519
525,SenatorShaheen,129870
526,SenatorSinema,200106
527,SenatorTester,165109
528,SenatorTimScott,721882
529,SenatorWarnock,183374
530,SenatorWicker,113907
531,SenBillCassidy,57099
532,SenBlumenthal,710757
533,SenBobCasey,438691
534,SenBrianSchatz,55713
535,SenCapito,93676
536,SenCortezMasto,74912
537,SenDanSullivan,64815
538,SenDuckworth,741923
539,SenFeinstein,1447934
540,SenGaryPeters,150338
541,SenGillibrand,1543824
542,SenHydeSmith,27322
543,SenJackReed,111317
544,SenJackyRosen,49961
545,SenJeffMerkley,496025
546,SenJohnBarrasso,161776
547,SenJohnHoeven,119816
548,SenJohnKennedy,729348
549,SenJohnThune,139947
550,SenJoniErnst,158376
551,SenKevinCramer,33334
552,SenLummis,94182
553,SenMarkey,263169
554,SenMarkKelly,139414
555,SenMikeLee,703535
556,SenRickScott,440497
557,senrobportman,170504
558,SenRonJohnson,515840
559,SenSanders,12465489
560,SenSasse,168660
561,SenSchumer,3478655
562,SenShelby,97892
563,SenSherrodBrown,503234
564,SenStabenow,153608
565,SenTedCruz,3308236
566,SenThomTillis,134443
567,SenTinaSmith,97342
568,SenToddYoung,72987
569,SenTomCotton,660445
570,SenToomey,190200
571,SenTuberville,27017
572,SenWarren,7022439
573,SenWhitehouse,587024
574,Sen_JoeManchin,359742
575,SpeakerPelosi,8138748
576,StaceyPlaskett,256696
577,SteveDaines,89775
578,SteveScalise,609241
579,SylvesterTurner,174001
580,tatereeves,65889
581,TBD,12402
582,tedwheeler,72988
583,timkaine,961664
584,ToddGloria,47241
585,TomColeOK04,30369
586,TucsonRomero,26271
587,TXRandy14,24442
588,USRepGaryPalmer,24375
589,USRepKCastor,25343
590,USRepKeating,24542
591,USRepMikeDoyle,22879
592,USRepMikeFlood,3188
593,VernBuchanan,31985
594,virginiafoxx,33002
595,WarrenDavidson,53066
596,WhipClyburn,None
597,WVGovernor,79636
